Year,Month,Day,Total Renewable Energy,Data Time
1996,3,26,377.118,1996-03-26
1996,4,26,319.162,1996-04-26
1996,5,26,351.185,1996-05-26
1996,6,26,372.059,1996-06-26
1996,7,26,391.057,1996-07-26
1996,8,26,393.798,1996-08-26
1996,9,26,342.445,1996-09-26
1996,10,26,391.735,1996-10-26
1996,11,26,379.103,1996-11-26
1996,12,26,370.129,1996-12-26
1997,1,26,388.941,1997-01-26
1997,2,26,334.496,1997-02-26
1997,3,26,372.66,1997-03-26
1997,4,26,366.12,1997-04-26
1997,5,26,388.203,1997-05-26
1997,6,26,354.793,1997-06-26
1997,7,26,373.107,1997-07-26
1997,8,26,363.705,1997-08-26
1997,9,26,334.539,1997-09-26
1997,10,26,392.213,1997-10-26
1997,11,26,347.493,1997-11-26
1997,12,26,345.141,1997-12-26
1998,1,26,375.271,1998-01-26
1998,2,26,315.456,1998-02-26
1998,3,26,351.872,1998-03-26
1998,4,26,338.885,1998-04-26
1998,5,26,366.152,1998-05-26
1998,6,26,299.957,1998-06-26
1998,7,26,349.707,1998-07-26
1998,8,26,344.968,1998-08-26
1998,9,26,323.242,1998-09-26
1998,10,26,335.428,1998-10-26
1998,11,26,299.761,1998-11-26
1998,12,26,359.158,1998-12-26
1999,1,26,372.704,1999-01-26
1999,2,26,319.434,1999-02-26
1999,3,26,324.012,1999-03-26
1999,4,26,344.304,1999-04-26
1999,5,26,391.489,1999-05-26
1999,6,26,345.038,1999-06-26
1999,7,26,371.332,1999-07-26
1999,8,26,350.501,1999-08-26
1999,9,26,318.203,1999-09-26
1999,10,26,298.035,1999-10-26
1999,11,26,327.396,1999-11-26
1999,12,26,320.514,1999-12-26
2000,1,26,309.005,2000-01-26
2000,2,26,323.992,2000-02-26
2000,3,26,354.975,2000-03-26
2000,4,26,352.749,2000-04-26
2000,5,26,349.931,2000-05-26
2000,6,26,316.674,2000-06-26
2000,7,26,339.765,2000-07-26
2000,8,26,333.209,2000-08-26
2000,9,26,302.307,2000-09-26
2000,10,26,329.29,2000-10-26
2000,11,26,327.946,2000-11-26
2000,12,26,320.869,2000-12-26
2001,1,26,291.002,2001-01-26
2001,2,26,261.471,2001-02-26
2001,3,26,289.866,2001-03-26
2001,4,26,276.959,2001-04-26
2001,5,26,278.887,2001-05-26
2001,6,26,286.867,2001-06-26
2001,7,26,285.812,2001-07-26
2001,8,26,292.156,2001-08-26
2001,9,26,267.175,2001-09-26
2001,10,26,279.251,2001-10-26
2001,11,26,270.669,2001-11-26
2001,12,26,289.698,2001-12-26
2002,1,26,300.491,2002-01-26
2002,2,26,267.397,2002-02-26
2002,3,26,289.203,2002-03-26
2002,4,26,296.728,2002-04-26
2002,5,26,317.65,2002-05-26
2002,6,26,313.973,2002-06-26
2002,7,26,324.21,2002-07-26
2002,8,26,297.2,2002-08-26
2002,9,26,287.987,2002-09-26
2002,10,26,298.854,2002-10-26
2002,11,26,292.794,2002-11-26
2002,12,26,309.995,2002-12-26
2003,1,26,300.115,2003-01-26
2003,2,26,275.658,2003-02-26
2003,3,26,311.594,2003-03-26
2003,4,26,309.355,2003-04-26
2003,5,26,326.554,2003-05-26
2003,6,26,322.602,2003-06-26
2003,7,26,323.735,2003-07-26
2003,8,26,314.02,2003-08-26
2003,9,26,289.012,2003-09-26
2003,10,26,293.909,2003-10-26
2003,11,26,294.331,2003-11-26
2003,12,26,325.186,2003-12-26
2004,1,26,324.699,2004-01-26
2004,2,26,299.98,2004-02-26
2004,3,26,319.365,2004-03-26
2004,4,26,311.715,2004-04-26
2004,5,26,320.568,2004-05-26
2004,6,26,324.238,2004-06-26
2004,7,26,329.89,2004-07-26
2004,8,26,320.085,2004-08-26
2004,9,26,305.077,2004-09-26
2004,10,26,308.748,2004-10-26
2004,11,26,308.323,2004-11-26
2004,12,26,343.125,2004-12-26
2005,1,26,335.026,2005-01-26
2005,2,26,309.382,2005-02-26
2005,3,26,328.254,2005-03-26
2005,4,26,317.72,2005-04-26
2005,5,26,341.295,2005-05-26
2005,6,26,336.085,2005-06-26
2005,7,26,344.299,2005-07-26
2005,8,26,327.906,2005-08-26
2005,9,26,303.938,2005-09-26
2005,10,26,309.826,2005-10-26
2005,11,26,309.651,2005-11-26
2005,12,26,330.505,2005-12-26
2006,1,26,356.638,2006-01-26
2006,2,26,317.915,2006-02-26
2006,3,26,335.287,2006-03-26
2006,4,26,336.6,2006-04-26
2006,5,26,353.451,2006-05-26
2006,6,26,347.694,2006-06-26
2006,7,26,345.443,2006-07-26
2006,8,26,331.828,2006-08-26
2006,9,26,308.107,2006-09-26
2006,10,26,315.343,2006-10-26
2006,11,26,321.19,2006-11-26
2006,12,26,335.78,2006-12-26
2007,1,26,355.91,2007-01-26
2007,2,26,304.244,2007-02-26
2007,3,26,345.696,2007-03-26
2007,4,26,339.246,2007-04-26
2007,5,26,350.246,2007-05-26
2007,6,26,334.464,2007-06-26
2007,7,26,342.447,2007-07-26
2007,8,26,333.381,2007-08-26
2007,9,26,308.518,2007-09-26
2007,10,26,319.492,2007-10-26
2007,11,26,318.576,2007-11-26
2007,12,26,340.719,2007-12-26
2008,1,26,366.693,2008-01-26
2008,2,26,330.036,2008-02-26
2008,3,26,358.702,2008-03-26
2008,4,26,355.996,2008-04-26
2008,5,26,378.684,2008-05-26
2008,6,26,376.883,2008-06-26
2008,7,26,372.65,2008-07-26
2008,8,26,354.73,2008-08-26
2008,9,26,324.524,2008-09-26
2008,10,26,336.481,2008-10-26
2008,11,26,333.639,2008-11-26
2008,12,26,354.116,2008-12-26
2009,1,26,358.983,2009-01-26
2009,2,26,320.408,2009-02-26
2009,3,26,360.277,2009-03-26
2009,4,26,361.648,2009-04-26
2009,5,26,380.715,2009-05-26
2009,6,26,379.24,2009-06-26
2009,7,26,372.641,2009-07-26
2009,8,26,364.883,2009-08-26
2009,9,26,340.091,2009-09-26
2009,10,26,363.826,2009-10-26
2009,11,26,366.31,2009-11-26
2009,12,26,388.551,2009-12-26
2010,1,26,399.216,2010-01-26
2010,2,26,364.324,2010-02-26
2010,3,26,405.003,2010-03-26
2010,4,26,391.801,2010-04-26
2010,5,26,414.177,2010-05-26
2010,6,26,427.157,2010-06-26
2010,7,26,414.65,2010-07-26
2010,8,26,401.786,2010-08-26
2010,9,26,382.96,2010-09-26
2010,10,26,392.013,2010-10-26
2010,11,26,403.216,2010-11-26
2010,12,26,424.839,2010-12-26
2011,1,26,428.678,2011-01-26
2011,2,26,399.312,2011-02-26
2011,3,26,449.009,2011-03-26
2011,4,26,438.612,2011-04-26
2011,5,26,448.713,2011-05-26
2011,6,26,450.2,2011-06-26
2011,7,26,442.941,2011-07-26
2011,8,26,425.564,2011-08-26
2011,9,26,396.493,2011-09-26
2011,10,26,407.845,2011-10-26
2011,11,26,417.852,2011-11-26
2011,12,26,436.694,2011-12-26
2012,1,26,429.904,2012-01-26
2012,2,26,392.676,2012-02-26
2012,3,26,434.438,2012-03-26
2012,4,26,417.278,2012-04-26
2012,5,26,439.273,2012-05-26
2012,6,26,425.982,2012-06-26
2012,7,26,422.041,2012-07-26
2012,8,26,412.154,2012-08-26
2012,9,26,381.694,2012-09-26
2012,10,26,396.574,2012-10-26
2012,11,26,396.873,2012-11-26
2012,12,26,432.457,2012-12-26
2013,1,26,449.4,2013-01-26
2013,2,26,402.046,2013-02-26
2013,3,26,440.655,2013-03-26
2013,4,26,450.469,2013-04-26
2013,5,26,471.246,2013-05-26
2013,6,26,457.129,2013-06-26
2013,7,26,462.057,2013-07-26
2013,8,26,434.547,2013-08-26
2013,9,26,408.686,2013-09-26
2013,10,26,428.271,2013-10-26
2013,11,26,434.697,2013-11-26
2013,12,26,455.327,2013-12-26
2014,1,26,467.204,2014-01-26
2014,2,26,409.626,2014-02-26
2014,3,26,478.79,2014-03-26
2014,4,26,474.589,2014-04-26
2014,5,26,475.262,2014-05-26
2014,6,26,476.481,2014-06-26
2014,7,26,470.433,2014-07-26
2014,8,26,445.808,2014-08-26
2014,9,26,419.991,2014-09-26
2014,10,26,441.605,2014-10-26
2014,11,26,455.589,2014-11-26
2014,12,26,469.336,2014-12-26
2015,1,26,469.363,2015-01-26
2015,2,26,431.845,2015-02-26
2015,3,26,466.347,2015-03-26
2015,4,26,460.445,2015-04-26
2015,5,26,462.66,2015-05-26
2015,6,26,447.584,2015-06-26
2015,7,26,465.431,2015-07-26
2015,8,26,455.21,2015-08-26
2015,9,26,429.216,2015-09-26
2015,10,26,441.545,2015-10-26
2015,11,26,461.083,2015-11-26
2015,12,26,487.703,2015-12-26
2016,1,26,477.842,2016-01-26
2016,2,26,464.937,2016-02-26
2016,3,26,499.447,2016-03-26
2016,4,26,472.904,2016-04-26
2016,5,26,481.405,2016-05-26
2016,6,26,463.898,2016-06-26
2016,7,26,474.859,2016-07-26
2016,8,26,457.59,2016-08-26
2016,9,26,435.264,2016-09-26
2016,10,26,453.691,2016-10-26
2016,11,26,456.997,2016-11-26
2016,12,26,512.267,2016-12-26
2017,1,26,495.995,2017-01-26
2017,2,26,462.003,2017-02-26
2017,3,26,531.83,2017-03-26
2017,4,26,511.38,2017-04-26
2017,5,26,528.94,2017-05-26
2017,6,26,512.696,2017-06-26
2017,7,26,493.573,2017-07-26
2017,8,26,474.164,2017-08-26
2017,9,26,452.177,2017-09-26
2017,10,26,478.405,2017-10-26
2017,11,26,475.38,2017-11-26
2017,12,26,493.289,2017-12-26
2018,1,26,519.69,2018-01-26
2018,2,26,482.451,2018-02-26
2018,3,26,531.604,2018-03-26
2018,4,26,524.639,2018-04-26
2018,5,26,542.202,2018-05-26
2018,6,26,531.17,2018-06-26
2018,7,26,506.718,2018-07-26
2018,8,26,506.462,2018-08-26
2018,9,26,463.886,2018-09-26
2018,10,26,482.929,2018-10-26
2018,11,26,482.835,2018-11-26
2018,12,26,504.249,2018-12-26
2019,1,26,509.569,2019-01-26
2019,2,26,467.153,2019-02-26
2019,3,26,523.732,2019-03-26
2019,4,26,529.297,2019-04-26
2019,5,26,547.983,2019-05-26
2019,6,26,521.71,2019-06-26
2019,7,26,523.244,2019-07-26
2019,8,26,506.551,2019-08-26
2019,9,26,482.086,2019-09-26
2019,10,26,496.629,2019-10-26
2019,11,26,484.52,2019-11-26
2019,12,26,504.754,2019-12-26
2020,1,26,507.264,2020-01-26
2020,2,26,500.406,2020-02-26
2020,3,26,507.808,2020-03-26
2020,4,26,472.531,2020-04-26
2020,5,26,515.144,2020-05-26
2020,6,26,515.615,2020-06-26
2020,7,26,503.627,2020-07-26
2020,8,26,489.21,2020-08-26
2020,9,26,454.524,2020-09-26
2020,10,26,481.387,2020-10-26
2020,11,26,495.713,2020-11-26
2020,12,26,501.844,2020-12-26
2021,1,26,505.139,2021-01-26
2021,2,26,445.715,2021-02-26
2021,3,26,541.15,2021-03-26
2021,4,26,521.355,2021-04-26
2021,5,26,548.219,2021-05-26
2021,6,26,516.331,2021-06-26
2021,7,26,508.011,2021-07-26
2021,8,26,511.003,2021-08-26
2021,9,26,490.112,2021-09-26
2021,10,26,502.648,2021-10-26
2021,11,26,511.292,2021-11-26
2021,12,26,547.309,2021-12-26
2022,1,26,548.431,2022-01-26
2022,2,26,516.613,2022-02-26
2022,3,26,582.368,2022-03-26
2022,4,26,572.819,2022-04-26
2022,5,26,590.693,2022-05-26
2022,6,26,571.056,2022-06-26
2022,7,26,560.166,2022-07-26
2022,8,26,523.505,2022-08-26
2022,9,26,489.925,2022-09-26
2022,10,26,504.875,2022-10-26
2022,11,26,530.425,2022-11-26
2022,12,26,526.825,2022-12-26
2023,1,26,547.463,2023-01-26
2023,2,26,519.312,2023-02-26
2023,3,26,570.317,2023-03-26
2023,4,26,548.92,2023-04-26
2023,5,26,574.094,2023-05-26
2023,6,26,523.358,2023-06-26
2023,7,26,545.288,2023-07-26
2023,8,26,541.66,2023-08-26
2023,9,26,499.536,2023-09-26
2023,10,26,532.762,2023-10-26
2023,11,26,519.638,2023-11-26
2023,12,26,533.819,2023-12-26
2024,1,26,521.761,2024-01-26
